State/UT,SubCenters,PHCs,CHCs,ANM/Health_Worker_Female,Doctors,Specialists,Radiographers,Pharmacists,LabTechnicians,NursingStaff,Year,ANM_Vacent,ANM_Shortfall,Doctors_Vacent,Doctors_Shortfall,Specialists_Vacent,Specialists_Shortfall,Radiographers_Vacent,Radiographers_Shortfall,Pharmacists_Vacent,Pharmacists_Shortfall,LabTechnicians_Vacent,LabTechnicians_Shortfall,NursingStaff_Vacent,Nursing_Shortfall
Andhra Pradesh,12522,1570,164,13740,2137,224,140,1637,1437,2053,2005,1384,*,63,*,63,249,56,85,224,244,328,370,333,*
Arunachal Pradesh,379,85,31,454,78,0,22,31,18,105,2005,,4,,*,,226,,47,,71,,59,,*
Assam,5109,610,100,5719,,,,,,,2005,*,*,*,*,*,572,*,73,*,*,*,*,*,*
Bihar,10337,1648,101,,,,,,,,2005,8465,*,2384,*,512,104,91,54,1075,1267,1068,1321,2248,755
Chhattisgarh,3818,517,116,3667,628,18,95,467,348,540,2005,456,76,423,404,519,618,9,9,133,16,189,151,468,*
Goa,172,19,5,179,53,7,7,27,25,119,2005,*,*,*,*,*,10,2,4,*,4,*,17,*,*
Gujarat,7274,1070,272,6508,848,92,113,807,870,1453,2005,2457,1073,379,*,255,1379,222,222,308,287,314,347,670,944
Haryana,2433,408,72,2818,862,49,106,464,231,1160,2005,803,*,275,*,108,445,71,80,251,98,271,103,728,*
Himachal Pradesh,2068,439,66,1790,467,,54,375,462,1259,2005,617,992,251,93,*,319,12,59,212,138,191,601,216,917
Jharkhand,4462,561,47,,,,,,,,2005,396,*,108,69,160,505,66,49,163,234,181,98,1025,600
Karnataka,8143,1681,254,8544,2041,691,30,1880,1451,3100,2005,4377,*,252,105,247,504,30,67,618,616,197,640,*,*
Kerala,5094,911,106,5565,949,82,16,858,358,2578,2005,277,277,209,*,19,671,4,199,116,221,22,430,224,501
Madhya Pradesh,8874,1192,229,9345,839,49,,216,386,902,2005,817,*,460,134,986,1190,126,126,185,185,685,685,509,509
Maharashtra,10453,1780,382,10699,3158,1099,159,2055,1709,2575,2005,1962,*,739,*,159,713,32,174,247,149,544,533,669,610
Manipur,420,72,16,463,67,19,5,88,30,62,2005,*,*,*,*,20,64,1,8,*,*,*,*,2,*
Meghalaya,401,101,24,608,123,1,26,121,134,263,2005,*,*,*,*,1,108,*,4,*,*,*,*,*,*
Mizoram,366,57,9,345,35,0,,35,31,122,2005,,22,,*,,36,,1,,24,,*,,*
Nagaland,394,87,21,342,53,0,11,85,45,520,2005,*,*,*,10,*,75,0,18,0,19,0,8,0,*
Odisha,5927,1282,231,6768,1353,,8,1984,311,637,2005,*,*,461,461,1169,1195,64,314,174,*,*,954,*,1423
Punjab,2858,484,116,2602,373,226,57,811,600,640,2005,788,*,194,36,346,433,27,23,223,*,244,42,734,*
Rajasthan,10512,1713,326,11425,1506,581,269,2355,2065,8425,2005,3024,657,325,249,938,1754,335,219,858,1532,950,663,2236,*
Sikkim,147,24,4,260,48,4,5,3,32,45,2005,*,*,14,*,2,6,*,*,2,13,*,*,5,*
Tamil Nadu,8682,1380,35,10112,2257,48,28,1252,861,167,2005,1523,*,268,*,91,1312,91,241,238,220,707,640,1173,*
Telangana,-,-,-,-,-,-,-,-,-,-,2005,1053,*,41,*,367,82,55,41,233,279,126,74,336,*
Tripura,539,73,10,561,152,2,4,63,43,274,2005,N App,389,N App,*,N App,87,N App,9,N App,*,N App,*,N App,*
Uttarakhand,1576,225,44,1486,182,71,30,281,32,129,2005,197,90,130,*,204,192,13,47,8,*,75,252,149,406
Uttar Pradesh,20521,3660,386,18146,,,,,,,2005,3885,67,819,121,1355,2028,213,522,58,*,640,1779,2349,449
West Bengal,10356,1173,95,9070,1319,133,77,1231,341,1479,2005,647,*,292,*,781,751,121,186,89,*,384,544,831,*
A& N Islands,107,20,4,127,36,0,4,28,24,108,2005,*,*,*,*,,15,0,0,*,*,*,1,*,*
Chandigarh,13,0,1,13,0,4,1,6,2,13,2005,N App,N App,N App,N App,N App,N App,,N App,N App,N App,N App,N App,N App,N App
Dadra & Nagar Haveli,38,6,1,38,6,2,1,8,7,10,2005,,,,,,,,,,,,,,
Daman & Diu,21,3,1,24,5,0,1,4,4,12,2005,,,,,,,,,,,,,,
